2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | QueryManager initialized.
2025-06-08 21:41:17 | BI_APP | INFO | logger:info:70 | Iniciando aplicação Dash
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Componentes principais do LlamaIndex carregados com sucesso
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | QueryManager initialized.
2025-06-08 21:41:24 | BI_APP | INFO | logger:info:70 | Iniciando aplicação Dash
2025-06-08 21:41:55 | BI_APP | INFO | logger:info:70 | Componentes principais do LlamaIndex carregados com sucesso
2025-06-08 21:41:55 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | QueryManager initialized.
2025-06-08 21:41:56 | BI_APP | INFO | logger:info:70 | Iniciando aplicação Dash
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Componentes principais do LlamaIndex carregados com sucesso
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-08 21:42:29 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
